cell,windows,subject,protocol,seed,kappa,accuracy,n_test,n_arms_surviving,n_arms_total,stream_rounds_run
0_4,0.0-4.0,7,official,0,0.050000000000000044,0.525,120,38,54,84
0_4,0.0-4.0,7,official,1,0.30000000000000004,0.65,120,28,54,84
0_4,0.0-4.0,7,official,2,0.2666666666666667,0.6333333333333333,120,14,54,84
0_4,0.0-4.0,7,official,3,0.23333333333333328,0.6166666666666667,120,28,54,84
0_4,0.0-4.0,7,official,42,-0.08333333333333326,0.4583333333333333,120,6,54,84
0_4,0.0-4.0,8,within,0,-0.2142857142857142,0.39285714285714285,56,18,54,157
0_4,0.0-4.0,8,within,1,0.0357142857142857,0.5178571428571429,56,16,54,157
0_4,0.0-4.0,8,within,2,0.2142857142857143,0.6071428571428571,56,22,54,157
0_4,0.0-4.0,8,within,3,0.2142857142857143,0.6071428571428571,56,20,54,157
0_4,0.0-4.0,8,within,42,0.0,0.5,56,22,54,157
0_4,0.0-4.0,8,official,0,0.21666666666666667,0.6083333333333333,120,20,54,112
0_4,0.0-4.0,8,official,1,-0.03333333333333344,0.48333333333333334,120,18,54,112
0_4,0.0-4.0,8,official,2,0.033333333333333326,0.5166666666666667,120,24,54,112
0_4,0.0-4.0,8,official,3,0.1166666666666667,0.5583333333333333,120,14,54,112
0_4,0.0-4.0,8,official,42,0.09999999999999998,0.55,120,30,54,112
0_4,0.0-4.0,9,within,0,-0.25,0.375,48,18,54,134
0_4,0.0-4.0,9,within,1,0.04166666666666663,0.5208333333333334,48,26,54,134
0_4,0.0-4.0,9,within,2,-0.125,0.4375,48,24,54,134
0_4,0.0-4.0,9,within,3,-0.04166666666666674,0.4791666666666667,48,20,54,134
0_4,0.0-4.0,9,within,42,-0.16666666666666674,0.4166666666666667,48,30,54,134
0_4,0.0-4.0,9,official,0,0.1166666666666667,0.5583333333333333,120,16,54,84
0_4,0.0-4.0,9,official,1,0.08333333333333337,0.5416666666666666,120,8,54,84
0_4,0.0-4.0,9,official,2,0.050000000000000044,0.525,120,36,54,84
0_4,0.0-4.0,9,official,3,0.08333333333333337,0.5416666666666666,120,16,54,84
0_4,0.0-4.0,9,official,42,0.01666666666666672,0.5083333333333333,120,16,54,84
05_25,0.5-2.5,1,within,0,0.33333333333333337,0.6666666666666666,48,30,54,134
05_25,0.5-2.5,1,within,1,0.20833333333333337,0.6041666666666666,48,20,54,134
05_25,0.5-2.5,1,within,2,-0.08333333333333326,0.4583333333333333,48,30,54,134
05_25,0.5-2.5,1,within,3,0.20833333333333337,0.6041666666666666,48,20,54,134
05_25,0.5-2.5,1,within,42,-0.04166666666666674,0.4791666666666667,48,28,54,134
05_25,0.5-2.5,1,official,0,0.1333333333333333,0.5666666666666667,120,22,54,84
05_25,0.5-2.5,1,official,1,0.01666666666666672,0.5083333333333333,120,22,54,84
05_25,0.5-2.5,1,official,2,-0.06666666666666665,0.4666666666666667,120,30,54,84
05_25,0.5-2.5,1,official,3,0.0,0.5,120,26,54,84
05_25,0.5-2.5,1,official,42,0.08333333333333337,0.5416666666666666,120,18,54,84
05_25,0.5-2.5,2,within,0,0.04166666666666663,0.5208333333333334,48,14,54,134
05_25,0.5-2.5,2,within,1,-0.29166666666666674,0.3541666666666667,48,28,54,134
05_25,0.5-2.5,2,within,2,-0.08333333333333326,0.4583333333333333,48,20,54,134
05_25,0.5-2.5,2,within,3,0.125,0.5625,48,24,54,134
05_25,0.5-2.5,2,within,42,0.125,0.5625,48,34,54,134
05_25,0.5-2.5,2,official,0,0.1333333333333333,0.5666666666666667,120,34,54,84
05_25,0.5-2.5,2,official,1,-0.016666666666666607,0.49166666666666664,120,22,54,84
05_25,0.5-2.5,2,official,2,0.033333333333333326,0.5166666666666667,120,16,54,84
05_25,0.5-2.5,2,official,3,0.08333333333333337,0.5416666666666666,120,20,54,84
05_25,0.5-2.5,2,official,42,-0.1166666666666667,0.44166666666666665,120,14,54,84
05_25,0.5-2.5,3,within,0,0.0,0.5,48,22,54,134
05_25,0.5-2.5,3,within,1,0.08333333333333337,0.5416666666666666,48,28,54,134
05_25,0.5-2.5,3,within,2,-0.08333333333333326,0.4583333333333333,48,36,54,134
05_25,0.5-2.5,3,within,3,0.16666666666666663,0.5833333333333334,48,20,54,134
05_25,0.5-2.5,3,within,42,0.25,0.625,48,30,54,134
05_25,0.5-2.5,3,official,0,0.050000000000000044,0.525,120,4,54,84
05_25,0.5-2.5,3,official,1,0.01666666666666672,0.5083333333333333,120,42,54,84
05_25,0.5-2.5,3,official,2,0.08333333333333337,0.5416666666666666,120,8,54,84
05_25,0.5-2.5,3,official,3,0.18333333333333335,0.5916666666666667,120,12,54,84
05_25,0.5-2.5,3,official,42,0.0,0.5,120,26,54,84
05_25,0.5-2.5,4,within,0,0.7692307692307692,0.8846153846153846,52,22,54,146
05_25,0.5-2.5,4,within,1,0.6923076923076923,0.8461538461538461,52,26,54,146
05_25,0.5-2.5,4,within,2,0.5384615384615384,0.7692307692307693,52,32,54,146
05_25,0.5-2.5,4,within,3,0.7307692307692308,0.8653846153846154,52,24,54,146
05_25,0.5-2.5,4,within,42,0.6153846153846154,0.8076923076923077,52,36,54,146
05_25,0.5-2.5,4,official,0,-0.0714285714285714,0.4642857142857143,140,26,54,84
05_25,0.5-2.5,4,official,1,0.6428571428571428,0.8214285714285714,140,22,54,84
05_25,0.5-2.5,4,official,2,0.7714285714285715,0.8857142857142857,140,36,54,84
05_25,0.5-2.5,4,official,3,0.5571428571428572,0.7785714285714286,140,30,54,84
05_25,0.5-2.5,4,official,42,0.7285714285714286,0.8642857142857143,140,26,54,84
05_25,0.5-2.5,5,within,0,0.23076923076923073,0.6153846153846154,52,30,54,146
05_25,0.5-2.5,5,within,1,0.3076923076923077,0.6538461538461539,52,38,54,146
05_25,0.5-2.5,5,within,2,0.42307692307692313,0.7115384615384616,52,30,54,146
05_25,0.5-2.5,5,within,3,0.3846153846153846,0.6923076923076923,52,40,54,146
05_25,0.5-2.5,5,within,42,0.1923076923076923,0.5961538461538461,52,26,54,146
05_25,0.5-2.5,5,official,0,0.3285714285714286,0.6642857142857143,140,36,54,84
05_25,0.5-2.5,5,official,1,0.3571428571428571,0.6785714285714286,140,26,54,84
05_25,0.5-2.5,5,official,2,0.2571428571428571,0.6285714285714286,140,22,54,84
05_25,0.5-2.5,5,official,3,0.19999999999999996,0.6,140,26,54,84
05_25,0.5-2.5,5,official,42,0.3571428571428571,0.6785714285714286,140,24,54,84
05_25,0.5-2.5,6,within,0,0.25,0.625,48,20,54,134
05_25,0.5-2.5,6,within,1,0.375,0.6875,48,26,54,134
05_25,0.5-2.5,6,within,2,0.16666666666666663,0.5833333333333334,48,28,54,134
05_25,0.5-2.5,6,within,3,0.20833333333333337,0.6041666666666666,48,14,54,134
05_25,0.5-2.5,6,within,42,0.0,0.5,48,24,54,134
05_25,0.5-2.5,6,official,0,0.15000000000000002,0.575,120,22,54,84
05_25,0.5-2.5,6,official,1,-0.10000000000000009,0.45,120,24,54,84
