dataset,montage,subject,seed,n_channels,best_arm_kappa,best_arm_accuracy,best_arm_id,best_arm_spatial,n_arms_surviving,n_test,error
COGBCI,full,7,42,62,0.971159179145868,0.9807692307692308,81,identity,100,52,
COGBCI,full,8,0,62,0.9705882352941176,0.9803921568627452,45,identity,94,51,
COGBCI,full,8,1,62,0.9411764705882352,0.9607843137254902,45,identity,100,51,
COGBCI,full,8,2,62,0.9705882352941176,0.9803921568627452,45,identity,100,51,
COGBCI,full,8,3,62,0.9411764705882352,0.9607843137254902,57,identity,91,51,
COGBCI,full,8,42,62,0.8235294117647058,0.8823529411764706,33,identity,100,51,
COGBCI,full,9,0,62,1.0,1.0,0,csp,100,52,
COGBCI,full,9,1,62,0.913477537437604,0.9423076923076924,0,csp,100,52,
COGBCI,full,9,2,62,0.8849557522123894,0.9230769230769232,0,csp,96,52,
COGBCI,full,9,3,62,0.9419642857142856,0.9615384615384616,0,csp,98,52,
COGBCI,full,9,42,62,0.9710306406685236,0.9807692307692308,33,identity,96,52,
COGBCI,full,10,0,62,0.9433760683760684,0.9622641509433962,93,identity,83,53,
COGBCI,full,10,1,62,0.4881974248927039,0.660377358490566,58,identity,71,53,
COGBCI,full,10,2,62,0.8299465240641711,0.8867924528301887,93,identity,70,53,
COGBCI,full,10,3,62,0.7453283502402563,0.8301886792452831,69,identity,84,53,
COGBCI,full,10,42,62,0.7454642475987193,0.8301886792452831,24,csp,86,53,
COGBCI,full,11,0,62,0.923673997412678,0.9491525423728814,48,csp,100,59,
COGBCI,full,11,1,62,0.948561464690497,0.9661016949152542,36,csp,100,59,
COGBCI,full,11,2,62,1.0,1.0,48,csp,97,59,
COGBCI,full,11,3,62,1.0,1.0,84,csp,98,59,
COGBCI,full,11,42,62,0.9490060501296456,0.9661016949152542,60,csp,92,59,
COGBCI,full,12,0,62,0.882691201840138,0.9215686274509804,57,identity,100,51,
COGBCI,full,12,1,62,0.7644341801385681,0.8431372549019608,95,identity,77,51,
COGBCI,full,12,2,62,0.8235294117647058,0.8823529411764706,81,identity,81,51,
COGBCI,full,12,3,62,0.7065592635212888,0.803921568627451,54,identity,99,51,
COGBCI,full,12,42,62,0.79399884593191,0.8627450980392157,57,identity,93,51,
COGBCI,full,13,0,62,0.9411764705882352,0.9607843137254902,57,identity,100,51,
COGBCI,full,13,1,62,0.9411764705882352,0.9607843137254902,0,csp,100,51,
COGBCI,full,13,2,62,1.0,1.0,48,csp,100,51,
COGBCI,full,13,3,62,0.9705882352941176,0.9803921568627452,69,identity,100,51,
COGBCI,full,13,42,62,0.8529411764705882,0.9019607843137256,45,identity,100,51,
COGBCI,full,14,0,62,0.5898908673176335,0.7254901960784313,57,identity,95,51,
COGBCI,full,14,1,62,0.5868055555555556,0.7254901960784313,54,identity,100,51,
COGBCI,full,14,2,62,0.530764807360552,0.6862745098039216,82,identity,100,51,
COGBCI,full,14,3,62,0.6456282570932252,0.7647058823529411,107,identity,84,51,
COGBCI,full,14,42,62,0.4151376146788991,0.6078431372549019,84,csp,78,51,
COGBCI,full,15,0,62,0.6660595021250759,0.78,84,csp,95,50,
COGBCI,full,15,1,62,0.909692956050572,0.94,96,csp,78,50,
COGBCI,full,15,2,62,0.7584541062801933,0.84,105,identity,85,50,
COGBCI,full,15,3,62,0.8792270531400966,0.92,96,csp,70,50,
COGBCI,full,15,42,62,0.8494882600842866,0.9,36,csp,80,50,
COGBCI,full,16,0,62,0.93875,0.9591836734693876,93,identity,99,49,
