dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,reward_mode,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
WAUC,33,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.31124917856502776,0.6557377049180327,183,88,512,165.0618684033236,
WAUC,33,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.36685755189692204,0.6830601092896175,183,88,512,188.0824313197095,
WAUC,33,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3878867518814957,0.6939890710382514,183,92,512,198.03593831873633,
WAUC,33,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.2900626678603402,0.644808743169399,183,72,512,196.0359345759412,
WAUC,33,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.2674314393260441,0.6338797814207651,183,96,512,201.97301818998415,
WAUC,34,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.20211431643074718,0.6010928961748634,183,96,512,210.11632264566433,
WAUC,34,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.26716872870719033,0.6338797814207651,183,100,512,193.85390616251723,
WAUC,34,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.23494983277591974,0.6174863387978142,183,76,512,207.9195849352394,
WAUC,34,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.2019236513531274,0.6010928961748634,183,84,494,178.97674592213798,
WAUC,34,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.26821844225604297,0.6338797814207651,183,94,512,227.99623754245795,
WAUC,35,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3232583855510506,0.6862745098039216,153,72,426,150.31133992683937,
WAUC,35,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.299149294194634,0.6797385620915033,153,92,360,142.06710924445673,
WAUC,35,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.2578503957110032,0.6274509803921569,153,94,426,127.57620918574722,
WAUC,35,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3912638618471176,0.6928104575163399,153,98,426,139.83615589576854,
WAUC,35,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.29923664122137406,0.6862745098039216,153,92,426,179.34805581899522,
WAUC,36,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,-0.04347826086956519,0.4782608695652174,184,52,513,238.7917131966465,
WAUC,36,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.13043478260869568,0.5652173913043478,184,86,513,225.05908190765498,
WAUC,36,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.23913043478260865,0.6195652173913043,184,84,513,241.98407930197592,
WAUC,36,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.23913043478260865,0.6195652173913043,184,86,513,206.0303971054632,
WAUC,36,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.15217391304347827,0.5760869565217391,184,78,513,219.9567531752057,
WAUC,37,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5405308464849354,0.7704918032786885,183,100,512,141.91362771079835,
WAUC,37,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.43167701863354035,0.7158469945355191,183,100,512,114.97080362808403,
WAUC,37,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.44237318515863056,0.7213114754098361,183,100,512,136.95457429733855,
WAUC,37,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3987814348007884,0.6994535519125683,183,100,512,135.9572990929789,
WAUC,37,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5299002329888285,0.7650273224043715,183,100,512,117.01999925348062,
WAUC,38,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,-0.016484500985486594,0.4918032786885246,183,82,512,214.92564451896834,
WAUC,38,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.071620411817368,0.5355191256830601,183,56,512,207.54385124412335,
WAUC,38,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.08183012782224353,0.5409836065573771,183,70,512,195.93763661406675,
WAUC,38,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.21421755725190839,0.6065573770491803,183,58,512,194.77756235589987,
WAUC,38,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.44223988525667846,0.7213114754098361,183,36,512,210.0281612120845,
