dataset,montage,subject,protocol,seed,alpha,calibration_frac,window_size,n_components,n_channels,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
COGBCI,full,23,within,42,0.5,0.3,50,4,62,workload,0.8162499999999999,0.8775510204081632,49,98,137,29.0,
COGBCI,full,24,within,0,0.5,0.3,50,4,62,workload,0.8310308182784272,0.8867924528301887,53,99,148,26.0,
COGBCI,full,24,within,1,0.5,0.3,50,4,62,workload,0.971627408993576,0.981132075471698,53,100,114,20.0,
COGBCI,full,24,within,2,0.5,0.3,50,4,62,workload,0.9431939978563773,0.9622641509433962,53,94,56,13.0,
COGBCI,full,24,within,3,0.5,0.3,50,4,62,workload,0.6845238095238095,0.7924528301886793,53,100,56,17.0,
COGBCI,full,24,within,42,0.5,0.3,50,4,62,workload,0.7424406047516199,0.8301886792452831,53,84,85,16.0,
COGBCI,full,25,within,0,0.5,0.3,50,4,62,workload,0.5951056729699666,0.7307692307692307,52,97,144,29.0,
COGBCI,full,25,within,1,0.5,0.3,50,4,62,workload,0.7695290858725762,0.8461538461538461,52,85,144,46.0,
COGBCI,full,25,within,2,0.5,0.3,50,4,62,workload,0.740432612312812,0.8269230769230769,52,89,144,35.0,
COGBCI,full,25,within,3,0.5,0.3,50,4,62,workload,0.5669072737368129,0.7115384615384616,52,97,144,37.0,
COGBCI,full,25,within,42,0.5,0.3,50,4,62,workload,0.7397107897664071,0.8269230769230769,52,97,51,11.0,
COGBCI,full,26,within,0,0.5,0.3,50,4,62,workload,0.9422222222222222,0.9615384615384616,52,97,143,30.0,
COGBCI,full,26,within,1,0.5,0.3,50,4,62,workload,0.7690172126596335,0.8461538461538461,52,95,79,16.0,
COGBCI,full,26,within,2,0.5,0.3,50,4,62,workload,0.8553144129104062,0.903846153846154,52,88,143,29.0,
COGBCI,full,26,within,3,0.5,0.3,50,4,62,workload,0.7389849414389291,0.8269230769230769,52,86,143,34.0,
COGBCI,full,26,within,42,0.5,0.3,50,4,62,workload,0.7117516629711752,0.8076923076923077,52,100,50,9.0,
COGBCI,full,27,within,0,0.5,0.3,50,4,62,workload,0.448405253283302,0.6326530612244898,49,79,137,28.0,
COGBCI,full,27,within,1,0.5,0.3,50,4,62,workload,1.0,1.0,49,100,137,29.0,
COGBCI,full,27,within,2,0.5,0.3,50,4,62,workload,0.7846829880728186,0.8571428571428571,49,100,41,8.0,
COGBCI,full,27,within,3,0.5,0.3,50,4,62,workload,0.8771929824561403,0.9183673469387756,49,85,137,21.0,
COGBCI,full,27,within,42,0.5,0.3,50,4,62,workload,0.8463949843260188,0.8979591836734694,49,100,41,8.0,
COGBCI,full,28,within,0,0.5,0.3,50,4,62,workload,0.5951056729699666,0.7307692307692307,52,97,144,29.0,
COGBCI,full,28,within,1,0.5,0.3,50,4,62,workload,0.7695290858725762,0.8461538461538461,52,85,144,46.0,
COGBCI,full,28,within,2,0.5,0.3,50,4,62,workload,0.740432612312812,0.8269230769230769,52,89,144,35.0,
COGBCI,full,28,within,3,0.5,0.3,50,4,62,workload,0.5669072737368129,0.7115384615384616,52,97,144,37.0,
COGBCI,full,28,within,42,0.5,0.3,50,4,62,workload,0.7397107897664071,0.8269230769230769,52,97,51,11.0,
COGBCI,full,29,within,0,0.5,0.3,50,4,62,workload,0.9705372616984402,0.9803921568627452,51,100,17,0.0,
COGBCI,full,29,within,1,0.5,0.3,50,4,62,workload,0.9705712637045586,0.9803921568627452,51,100,17,1.0,
