dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,n_components,include_riemann_arms,epoch_seconds,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret
STEW,23,within,within_fold0,42,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,1.0
STEW,25,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,78,41,9.0
STEW,25,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.08695652173913038,0.5333333333333333,15,62,41,11.0
STEW,25,within,within_fold0,2,0.5,0.3,50,4,False,4.0,-0.11111111111111116,0.4666666666666667,15,78,41,18.0
STEW,25,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.5871559633027523,0.8,15,60,41,10.0
STEW,25,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.7321428571428572,0.8666666666666667,15,84,41,7.0
STEW,26,within,within_fold0,0,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,2.0
STEW,26,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,41,2.0
STEW,26,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.736842105263158,0.8666666666666667,15,100,26,3.0
STEW,26,within,within_fold0,3,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,1.0
STEW,26,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.6086956521739131,0.8,15,100,41,3.0
STEW,27,within,within_fold0,0,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,16,0.0
STEW,27,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,41,4.0
STEW,27,within,within_fold0,2,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,1.0
STEW,27,within,within_fold0,3,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,0.0
STEW,27,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,33,3.0
STEW,28,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,41,5.0
STEW,28,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.5945945945945946,0.8,15,97,41,9.0
STEW,28,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.5945945945945946,0.8,15,94,41,8.0
STEW,28,within,within_fold0,3,0.5,0.3,50,4,False,4.0,1.0,1.0,15,72,41,15.0
STEW,28,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,84,41,5.0
STEW,29,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,96,41,6.0
STEW,29,within,within_fold0,1,0.5,0.3,50,4,False,4.0,1.0,1.0,15,78,41,5.0
STEW,29,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.6017699115044248,0.8,15,100,41,4.0
STEW,29,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.18181818181818188,0.6,15,96,41,7.0
STEW,29,within,within_fold0,42,0.5,0.3,50,4,False,4.0,1.0,1.0,15,88,41,4.0
STEW,30,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.4444444444444444,0.7333333333333333,15,100,41,3.0
STEW,30,within,within_fold0,1,0.5,0.3,50,4,False,4.0,1.0,1.0,15,78,41,2.0
STEW,30,within,within_fold0,2,0.5,0.3,50,4,False,4.0,1.0,1.0,15,94,31,0.0
STEW,30,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.5945945945945946,0.8,15,100,41,2.0
STEW,30,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.5945945945945946,0.8,15,99,41,2.0
STEW,31,within,within_fold0,0,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,5.0
STEW,31,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.4444444444444444,0.7333333333333333,15,85,41,4.0
STEW,31,within,within_fold0,2,0.5,0.3,50,4,False,4.0,1.0,1.0,15,98,41,11.0
STEW,31,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.6017699115044248,0.8,15,94,41,6.0
STEW,31,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.34782608695652173,0.6666666666666666,15,97,33,1.0
STEW,32,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.5945945945945946,0.8,15,97,41,10.0
STEW,32,within,within_fold0,1,0.5,0.3,50,4,False,4.0,1.0,1.0,15,68,41,12.0
STEW,32,within,within_fold0,2,0.5,0.3,50,4,False,4.0,-0.034482758620689724,0.4666666666666667,15,91,41,17.0
STEW,32,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.05405405405405406,0.5333333333333333,15,84,41,20.0
STEW,32,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.4736842105263158,0.7333333333333333,15,87,41,7.0
STEW,33,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,41,5.0
STEW,33,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.7272727272727273,0.8666666666666667,15,100,41,15.0
STEW,33,within,within_fold0,2,0.5,0.3,50,4,False,4.0,1.0,1.0,15,94,41,7.0
STEW,33,within,within_fold0,3,0.5,0.3,50,4,False,4.0,1.0,1.0,15,82,41,8.0
STEW,33,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.7272727272727273,0.8666666666666667,15,99,41,5.0
STEW,34,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.4545454545454546,0.7333333333333333,15,62,41,13.0
STEW,34,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.2990654205607476,0.6666666666666666,15,100,41,6.0
STEW,34,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.4642857142857143,0.7333333333333333,15,82,41,8.0
STEW,34,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.3119266055045873,0.6666666666666666,15,73,41,10.0
STEW,34,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.22413793103448265,0.6,15,49,41,8.0
STEW,35,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.5871559633027523,0.8,15,96,41,11.0
STEW,35,within,within_fold0,1,0.5,0.3,50,4,False,4.0,1.0,1.0,15,83,41,9.0
