dataset,protocol,montage,method,feature_family,classifier,subject,seed,kappa,accuracy,n_train,n_test,n_channels,n_arms_surviving,final_regret,error
COGBCI-PVT,within,nearear,ccb,,,4,1,0.33333333333333337,0.6666666666666666,72,18,2,24,23.0,
COGBCI-PVT,within,nearear,ccb,,,4,2,0.2222222222222222,0.6111111111111112,72,18,2,39,26.0,
COGBCI-PVT,within,nearear,ccb,,,4,3,-0.33333333333333326,0.3333333333333333,72,18,2,28,26.0,
COGBCI-PVT,within,nearear,ccb,,,4,42,-0.22222222222222232,0.3888888888888889,72,18,2,43,27.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,4,-1,-0.05555555555555558,0.4722222222222222,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,4,-1,-0.03333333333333344,0.48333333333333334,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,4,-1,-0.07777777777777772,0.46111111111111114,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,4,-1,-0.06666666666666665,0.4666666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,4,-1,0.033333333333333326,0.5166666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,4,-1,0.022222222222222254,0.5111111111111111,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,4,-1,-0.03333333333333344,0.48333333333333334,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,4,-1,0.0444444444444444,0.5222222222222223,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,4,0,-0.07777777777777772,0.46111111111111114,90,180,2,35,29.0,
COGBCI-PVT,cross,nearear,ccb,,,4,1,0.033333333333333326,0.5166666666666667,90,180,2,34,35.0,
COGBCI-PVT,cross,nearear,ccb,,,4,2,-0.022222222222222143,0.4888888888888889,90,180,2,51,38.0,
COGBCI-PVT,cross,nearear,ccb,,,4,3,0.011111111111111072,0.5055555555555555,90,180,2,27,32.0,
COGBCI-PVT,cross,nearear,ccb,,,4,42,0.0,0.5,90,180,2,35,34.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,5,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,5,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,5,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,5,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,5,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,5,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,5,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,5,-1,0.33333333333333337,0.6666666666666666,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,5,0,0.2222222222222222,0.6111111111111112,72,18,2,37,20.0,
COGBCI-PVT,within,nearear,ccb,,,5,1,-0.11111111111111116,0.4444444444444444,72,18,2,37,29.0,
COGBCI-PVT,within,nearear,ccb,,,5,2,-0.11111111111111116,0.4444444444444444,72,18,2,41,22.0,
COGBCI-PVT,within,nearear,ccb,,,5,3,0.2222222222222222,0.6111111111111112,72,18,2,44,21.0,
COGBCI-PVT,within,nearear,ccb,,,5,42,0.0,0.5,72,18,2,27,30.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,5,-1,0.011111111111111072,0.5055555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,5,-1,0.022222222222222254,0.5111111111111111,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,5,-1,-0.03333333333333344,0.48333333333333334,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,5,-1,0.06666666666666665,0.5333333333333333,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,5,-1,-0.05555555555555558,0.4722222222222222,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,5,-1,-0.022222222222222143,0.4888888888888889,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,5,-1,-0.011111111111111072,0.49444444444444446,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,5,-1,0.011111111111111072,0.5055555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,5,0,0.0444444444444444,0.5222222222222223,90,180,2,51,33.0,
COGBCI-PVT,cross,nearear,ccb,,,5,1,0.011111111111111072,0.5055555555555555,90,180,2,41,29.0,
