dataset,method,montage,protocol,subject,seed,kappa,accuracy,n_train,n_test,n_channels,y_true_seq,y_pred_seq,error
STEW,eegnet,full,within,28,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,28,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,28,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,28,42,0.8571428571428572,0.9285714285714286,60,14,14,,,
STEW,eegnet,full,within,29,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,29,7,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,29,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,29,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,29,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,29,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,29,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,29,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,29,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,29,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,30,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,30,7,0.6017699115044248,0.8,59,15,14,,,
STEW,eegnet,full,within,30,7,0.4545454545454546,0.7333333333333333,59,15,14,,,
STEW,eegnet,full,within,30,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,30,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,30,42,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,30,42,0.6086956521739131,0.8,59,15,14,,,
STEW,eegnet,full,within,30,42,0.4545454545454546,0.7333333333333333,59,15,14,,,
STEW,eegnet,full,within,30,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,30,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,31,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,31,7,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,31,7,0.7321428571428572,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,31,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,31,7,0.8571428571428572,0.9285714285714286,60,14,14,,,
STEW,eegnet,full,within,31,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,31,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,31,42,0.7321428571428572,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,31,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,31,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,32,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,32,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,32,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,32,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,32,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,32,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,32,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,32,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,32,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,32,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,33,7,0.5945945945945946,0.8,59,15,14,,,
STEW,eegnet,full,within,33,7,0.03669724770642213,0.5333333333333333,59,15,14,,,
STEW,eegnet,full,within,33,7,0.4736842105263158,0.7333333333333333,59,15,14,,,
STEW,eegnet,full,within,33,7,-0.15384615384615374,0.4,59,15,14,,,
STEW,eegnet,full,within,33,7,0.2857142857142857,0.6428571428571429,60,14,14,,,
STEW,eegnet,full,within,33,42,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,33,42,0.4545454545454546,0.7333333333333333,59,15,14,,,
STEW,eegnet,full,within,33,42,0.4736842105263158,0.7333333333333333,59,15,14,,,
STEW,eegnet,full,within,33,42,-0.15384615384615374,0.4,59,15,14,,,
