dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,5,within,within_fold0,42,1.0,1.0,pruned,0.3,True,2.0,0.1154,0.5577,52,68,146,65.0,302.0
BCI-IV-2b,5,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,0.3,0.65,140,100,84,36.0,443.0
BCI-IV-2b,5,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,0.3,0.65,140,84,84,39.0,442.0
BCI-IV-2b,5,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,0.1714,0.5857,140,46,84,40.0,436.0
BCI-IV-2b,5,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,0.1429,0.5714,140,76,84,41.0,458.0
BCI-IV-2b,5,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,0.0143,0.5071,140,70,84,36.0,442.0
BCI-IV-2b,5,official,official[0→1],0,1.0,1.0,pruned,0.3,True,4.0,0.3,0.65,140,100,84,36.0,443.0
BCI-IV-2b,5,official,official[0→1],1,1.0,1.0,pruned,0.3,True,4.0,0.3,0.65,140,84,84,39.0,442.0
BCI-IV-2b,5,official,official[0→1],2,1.0,1.0,pruned,0.3,True,4.0,0.1714,0.5857,140,46,84,40.0,436.0
BCI-IV-2b,5,official,official[0→1],3,1.0,1.0,pruned,0.3,True,4.0,0.1429,0.5714,140,76,84,41.0,458.0
BCI-IV-2b,5,official,official[0→1],42,1.0,1.0,pruned,0.3,True,4.0,0.0143,0.5071,140,70,84,36.0,442.0
BCI-IV-2b,5,official,official[0→1],0,1.0,1.0,pruned,0.3,True,3.0,0.3,0.65,140,100,84,36.0,443.0
BCI-IV-2b,5,official,official[0→1],1,1.0,1.0,pruned,0.3,True,3.0,0.3,0.65,140,84,84,39.0,442.0
BCI-IV-2b,5,official,official[0→1],2,1.0,1.0,pruned,0.3,True,3.0,0.1714,0.5857,140,46,84,40.0,436.0
BCI-IV-2b,5,official,official[0→1],3,1.0,1.0,pruned,0.3,True,3.0,0.1429,0.5714,140,76,84,41.0,458.0
BCI-IV-2b,5,official,official[0→1],42,1.0,1.0,pruned,0.3,True,3.0,0.0143,0.5071,140,70,84,36.0,442.0
BCI-IV-2b,5,official,official[0→1],0,1.0,1.0,pruned,0.3,True,2.0,0.1571,0.5786,140,100,84,38.0,504.0
BCI-IV-2b,5,official,official[0→1],1,1.0,1.0,pruned,0.3,True,2.0,0.0,0.5,140,84,84,40.0,504.0
BCI-IV-2b,5,official,official[0→1],2,1.0,1.0,pruned,0.3,True,2.0,0.1857,0.5929,140,46,84,40.0,504.0
BCI-IV-2b,5,official,official[0→1],3,1.0,1.0,pruned,0.3,True,2.0,0.0,0.5,140,76,84,39.0,504.0
