dataset,montage,feature_family,classifier,subject,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
UAB,full,fbcsp,lda,4,3,42,0.9845307391755044,0.9896907216494846,775,194,14,
UAB,full,fbcsp,svm,4,3,42,1.0,1.0,775,194,14,
UAB,full,fbcsp,decision_tree,4,3,42,0.9226475279106858,0.9484536082474226,775,194,14,
UAB,full,fbcsp,random_forest,4,3,42,0.9922656779492086,0.9948453608247424,775,194,14,
UAB,full,bandpower,lda,4,3,42,0.9767970338476258,0.9845360824742267,775,194,14,
UAB,full,bandpower,svm,4,3,42,0.9845288887116712,0.9896907216494846,775,194,14,
UAB,full,bandpower,decision_tree,4,3,42,0.8840314031801698,0.922680412371134,775,194,14,
UAB,full,bandpower,random_forest,4,3,42,0.9767951836051194,0.9845360824742267,775,194,14,
UAB,full,fbcsp,lda,4,4,42,1.0,1.0,776,193,14,
UAB,full,fbcsp,svm,4,4,42,1.0,1.0,776,193,14,
UAB,full,fbcsp,decision_tree,4,4,42,0.9533572320457566,0.9689119170984456,776,193,14,
UAB,full,fbcsp,random_forest,4,4,42,1.0,1.0,776,193,14,
UAB,full,bandpower,lda,4,4,42,0.9766842507953128,0.9844559585492229,776,193,14,
UAB,full,bandpower,svm,4,4,42,0.99222589220978,0.9948186528497408,776,193,14,
UAB,full,bandpower,decision_tree,4,4,42,0.8911493373081416,0.927461139896373,776,193,14,
UAB,full,bandpower,random_forest,4,4,42,0.968909830453868,0.9792746113989638,776,193,14,
UAB,full,fbcsp,lda,5,0,42,0.897936534034857,0.9319371727748692,764,191,14,
UAB,full,fbcsp,svm,5,0,42,0.937181384640684,0.9581151832460733,764,191,14,
UAB,full,fbcsp,decision_tree,5,0,42,0.8979029605263158,0.9319371727748692,764,191,14,
UAB,full,fbcsp,random_forest,5,0,42,0.9214573566905172,0.9476439790575916,764,191,14,
UAB,full,bandpower,lda,5,0,42,0.9292825407273326,0.9528795811518324,764,191,14,
UAB,full,bandpower,svm,5,0,42,0.9685829426762068,0.9790575916230366,764,191,14,
UAB,full,bandpower,decision_tree,5,0,42,0.8585999835485728,0.9057591623036648,764,191,14,
UAB,full,bandpower,random_forest,5,0,42,0.9214573566905172,0.9476439790575916,764,191,14,
UAB,full,fbcsp,lda,5,1,42,0.9293348680424236,0.9528795811518324,764,191,14,
