dataset,baseline,subject,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
STEW,bandpower,12,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,bandpower,13,0,42,1.0,1.0,59,15,14,
STEW,bandpower,13,1,42,1.0,1.0,59,15,14,
STEW,bandpower,13,2,42,1.0,1.0,59,15,14,
STEW,bandpower,13,3,42,1.0,1.0,59,15,14,
STEW,bandpower,13,4,42,1.0,1.0,60,14,14,
STEW,bandpower,14,0,42,1.0,1.0,59,15,14,
STEW,bandpower,14,1,42,1.0,1.0,59,15,14,
STEW,bandpower,14,2,42,1.0,1.0,59,15,14,
STEW,bandpower,14,3,42,1.0,1.0,59,15,14,
STEW,bandpower,14,4,42,1.0,1.0,60,14,14,
STEW,bandpower,15,0,42,1.0,1.0,59,15,14,
STEW,bandpower,15,1,42,0.6017699115044248,0.8,59,15,14,
STEW,bandpower,15,2,42,0.6017699115044248,0.8,59,15,14,
STEW,bandpower,15,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,15,4,42,0.7142857142857143,0.8571428571428571,60,14,14,
STEW,bandpower,16,0,42,1.0,1.0,59,15,14,
STEW,bandpower,16,1,42,1.0,1.0,59,15,14,
STEW,bandpower,16,2,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,16,3,42,1.0,1.0,59,15,14,
STEW,bandpower,16,4,42,1.0,1.0,60,14,14,
STEW,bandpower,17,0,42,1.0,1.0,59,15,14,
STEW,bandpower,17,1,42,1.0,1.0,59,15,14,
STEW,bandpower,17,2,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,17,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,17,4,42,1.0,1.0,60,14,14,
STEW,bandpower,18,0,42,1.0,1.0,59,15,14,
STEW,bandpower,18,1,42,1.0,1.0,59,15,14,
STEW,bandpower,18,2,42,1.0,1.0,59,15,14,
STEW,bandpower,18,3,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,bandpower,18,4,42,1.0,1.0,60,14,14,
STEW,bandpower,19,0,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,19,1,42,1.0,1.0,59,15,14,
STEW,bandpower,19,2,42,1.0,1.0,59,15,14,
STEW,bandpower,19,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,19,4,42,1.0,1.0,60,14,14,
STEW,bandpower,20,0,42,1.0,1.0,59,15,14,
STEW,bandpower,20,1,42,1.0,1.0,59,15,14,
STEW,bandpower,20,2,42,1.0,1.0,59,15,14,
STEW,bandpower,20,3,42,1.0,1.0,59,15,14,
STEW,bandpower,20,4,42,1.0,1.0,60,14,14,
STEW,bandpower,21,0,42,1.0,1.0,59,15,14,
STEW,bandpower,21,1,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,21,2,42,0.7272727272727273,0.8666666666666667,59,15,14,
STEW,bandpower,21,3,42,1.0,1.0,59,15,14,
STEW,bandpower,21,4,42,1.0,1.0,60,14,14,
STEW,bandpower,22,0,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,bandpower,22,1,42,1.0,1.0,59,15,14,
STEW,bandpower,22,2,42,1.0,1.0,59,15,14,
STEW,bandpower,22,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,22,4,42,1.0,1.0,60,14,14,
STEW,bandpower,23,0,42,1.0,1.0,59,15,14,
STEW,bandpower,23,1,42,1.0,1.0,59,15,14,
STEW,bandpower,23,2,42,1.0,1.0,59,15,14,
STEW,bandpower,23,3,42,1.0,1.0,59,15,14,
STEW,bandpower,23,4,42,1.0,1.0,60,14,14,
STEW,bandpower,25,0,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,25,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,25,2,42,1.0,1.0,59,15,14,
STEW,bandpower,25,3,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,bandpower,25,4,42,0.7142857142857143,0.8571428571428571,60,14,14,
STEW,bandpower,26,0,42,1.0,1.0,59,15,14,
STEW,bandpower,26,1,42,1.0,1.0,59,15,14,
STEW,bandpower,26,2,42,1.0,1.0,59,15,14,
STEW,bandpower,26,3,42,1.0,1.0,59,15,14,
STEW,bandpower,26,4,42,1.0,1.0,60,14,14,
STEW,bandpower,27,0,42,1.0,1.0,59,15,14,
STEW,bandpower,27,1,42,1.0,1.0,59,15,14,
STEW,bandpower,27,2,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,27,3,42,1.0,1.0,59,15,14,
STEW,bandpower,27,4,42,1.0,1.0,60,14,14,
STEW,bandpower,28,0,42,1.0,1.0,59,15,14,
STEW,bandpower,28,1,42,1.0,1.0,59,15,14,
STEW,bandpower,28,2,42,1.0,1.0,59,15,14,
STEW,bandpower,28,3,42,1.0,1.0,59,15,14,
STEW,bandpower,28,4,42,1.0,1.0,60,14,14,
STEW,bandpower,29,0,42,1.0,1.0,59,15,14,
STEW,bandpower,29,1,42,1.0,1.0,59,15,14,
STEW,bandpower,29,2,42,1.0,1.0,59,15,14,
STEW,bandpower,29,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,29,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,bandpower,30,0,42,1.0,1.0,59,15,14,
STEW,bandpower,30,1,42,1.0,1.0,59,15,14,
STEW,bandpower,30,2,42,1.0,1.0,59,15,14,
STEW,bandpower,30,3,42,1.0,1.0,59,15,14,
STEW,bandpower,30,4,42,1.0,1.0,60,14,14,
STEW,bandpower,31,0,42,1.0,1.0,59,15,14,
