dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,online_heads,window_size,discount_gamma,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,4,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.0857,0.5429,140,86,84,32.0,439.0
BCI-IV-2b,4,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.0429,0.5214,140,86,84,32.0,429.0
BCI-IV-2b,4,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.0286,0.5143,140,84,84,34.0,455.0
BCI-IV-2b,4,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.0571,0.5286,140,100,84,28.0,429.0
BCI-IV-2b,4,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.5143,0.7571,140,76,84,29.0,442.0
BCI-IV-2b,4,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.0,0.5,140,86,84,29.0,434.0
BCI-IV-2b,4,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.4286,0.7143,140,86,84,32.0,427.0
BCI-IV-2b,4,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.6429,0.8214,140,84,84,33.0,440.0
BCI-IV-2b,4,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.6286,0.8143,140,100,84,27.0,429.0
BCI-IV-2b,4,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.3571,0.6786,140,76,84,31.0,439.0
BCI-IV-2b,4,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.7286,0.8643,140,86,84,27.0,432.0
BCI-IV-2b,4,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,0.5,0.75,140,86,84,30.0,427.0
BCI-IV-2b,4,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,0.0286,0.5143,140,84,84,36.0,447.0
BCI-IV-2b,4,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,0.5571,0.7786,140,100,84,36.0,428.0
BCI-IV-2b,4,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,0.3571,0.6786,140,76,84,28.0,440.0
BCI-IV-2b,4,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,0.6429,0.8214,140,86,84,25.0,432.0
BCI-IV-2b,4,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.95,0.4286,0.7143,140,86,84,33.0,429.0
BCI-IV-2b,4,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.95,0.4714,0.7357,140,84,84,29.0,450.0
BCI-IV-2b,4,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.95,0.0,0.5,140,100,84,32.0,426.0
BCI-IV-2b,4,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.95,0.0,0.5,140,76,84,27.0,448.0
BCI-IV-2b,4,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.95,0.5714,0.7857,140,86,84,27.0,433.0
BCI-IV-2b,4,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,1.0,-0.0286,0.4857,140,86,84,36.0,432.0
BCI-IV-2b,4,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,1.0,0.5,0.75,140,84,84,36.0,442.0
