dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.2,False,inf,oplb,,0.0167,0.5083,120,80,96,37.0,397.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.2,False,inf,oplb,,0.1167,0.5583,120,44,96,47.0,385.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.2,False,inf,oplb,,0.0333,0.5167,120,74,96,47.0,388.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.2,False,inf,oplb,,0.1167,0.5583,120,72,96,52.0,396.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,0.0167,0.5083,120,68,84,42.0,380.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,0.1667,0.5833,120,60,84,46.0,398.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,0.0667,0.5333,120,88,84,38.0,383.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.0167,0.4917,120,90,84,40.0,383.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.1,0.45,120,52,84,36.0,391.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,False,inf,oplb,,0.0,0.5,120,68,84,46.0,380.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,False,inf,oplb,,-0.0333,0.4833,120,60,84,46.0,400.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,False,inf,oplb,,-0.0667,0.4667,120,88,84,44.0,385.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,False,inf,oplb,,0.1,0.55,120,90,84,36.0,389.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,False,inf,oplb,,0.1333,0.5667,120,52,84,37.0,395.0
BCI-IV-2b,2,within,within_fold0,0,1.0,0.1,pruned,0.2,True,inf,oplb,,-0.0833,0.4583,48,36,154,76.0,147.0
BCI-IV-2b,2,within,within_fold0,1,1.0,0.1,pruned,0.2,True,inf,oplb,,0.0,0.5,48,86,154,79.0,144.0
BCI-IV-2b,2,within,within_fold0,2,1.0,0.1,pruned,0.2,True,inf,oplb,,0.1667,0.5833,48,52,154,68.0,145.0
BCI-IV-2b,2,within,within_fold0,3,1.0,0.1,pruned,0.2,True,inf,oplb,,-0.0833,0.4583,48,46,154,77.0,298.0
BCI-IV-2b,2,within,within_fold0,42,1.0,0.1,pruned,0.2,True,inf,oplb,,0.1667,0.5833,48,50,154,75.0,292.0
BCI-IV-2b,2,within,within_fold0,0,1.0,0.1,pruned,0.2,False,inf,oplb,,-0.0833,0.4583,48,36,154,76.0,146.0
BCI-IV-2b,2,within,within_fold0,1,1.0,0.1,pruned,0.2,False,inf,oplb,,0.0,0.5,48,86,154,79.0,144.0
BCI-IV-2b,2,within,within_fold0,2,1.0,0.1,pruned,0.2,False,inf,oplb,,0.1667,0.5833,48,52,154,68.0,145.0
BCI-IV-2b,2,within,within_fold0,3,1.0,0.1,pruned,0.2,False,inf,oplb,,-0.0833,0.4583,48,46,154,77.0,298.0
BCI-IV-2b,2,within,within_fold0,42,1.0,0.1,pruned,0.2,False,inf,oplb,,0.1667,0.5833,48,50,154,74.0,292.0
BCI-IV-2b,2,within,within_fold0,0,1.0,0.1,pruned,0.3,True,inf,oplb,,0.125,0.5625,48,48,134,74.0,144.0
BCI-IV-2b,2,within,within_fold0,1,1.0,0.1,pruned,0.3,True,inf,oplb,,-0.2917,0.3542,48,78,134,72.0,278.0
BCI-IV-2b,2,within,within_fold0,2,1.0,0.1,pruned,0.3,True,inf,oplb,,0.0417,0.5208,48,54,134,67.0,146.0
BCI-IV-2b,2,within,within_fold0,3,1.0,0.1,pruned,0.3,True,inf,oplb,,0.1667,0.5833,48,78,134,62.0,144.0
BCI-IV-2b,2,within,within_fold0,42,1.0,0.1,pruned,0.3,True,inf,oplb,,0.0417,0.5208,48,86,134,71.0,276.0
BCI-IV-2b,2,within,within_fold0,0,1.0,0.1,pruned,0.3,False,inf,oplb,,0.125,0.5625,48,48,134,74.0,144.0
BCI-IV-2b,2,within,within_fold0,1,1.0,0.1,pruned,0.3,False,inf,oplb,,-0.2917,0.3542,48,78,134,72.0,278.0
BCI-IV-2b,2,within,within_fold0,2,1.0,0.1,pruned,0.3,False,inf,oplb,,0.0417,0.5208,48,54,134,67.0,146.0
BCI-IV-2b,2,within,within_fold0,3,1.0,0.1,pruned,0.3,False,inf,oplb,,-0.0417,0.4792,48,78,134,72.0,144.0
BCI-IV-2b,2,within,within_fold0,42,1.0,0.1,pruned,0.3,False,inf,oplb,,0.0417,0.5208,48,86,134,71.0,276.0
BCI-IV-2b,2,within,within_fold0,0,1.0,0.5,pruned,0.2,True,inf,oplb,,0.0417,0.5208,48,36,154,72.0,194.0
BCI-IV-2b,2,within,within_fold0,1,1.0,0.5,pruned,0.2,True,inf,oplb,,-0.0417,0.4792,48,86,154,79.0,205.0
BCI-IV-2b,2,within,within_fold0,2,1.0,0.5,pruned,0.2,True,inf,oplb,,0.125,0.5625,48,52,154,70.0,174.0
BCI-IV-2b,2,within,within_fold0,3,1.0,0.5,pruned,0.2,True,inf,oplb,,-0.0417,0.4792,48,46,154,82.0,248.0
BCI-IV-2b,2,within,within_fold0,42,1.0,0.5,pruned,0.2,True,inf,oplb,,-0.25,0.375,48,50,154,67.0,173.0
BCI-IV-2b,2,within,within_fold0,0,1.0,0.5,pruned,0.2,False,inf,oplb,,0.2083,0.6042,48,36,154,75.0,182.0
BCI-IV-2b,2,within,within_fold0,1,1.0,0.5,pruned,0.2,False,inf,oplb,,0.375,0.6875,48,86,154,81.0,163.0
BCI-IV-2b,2,within,within_fold0,2,1.0,0.5,pruned,0.2,False,inf,oplb,,0.0833,0.5417,48,52,154,65.0,191.0
BCI-IV-2b,2,within,within_fold0,3,1.0,0.5,pruned,0.2,False,inf,oplb,,-0.0833,0.4583,48,46,154,74.0,233.0
BCI-IV-2b,2,within,within_fold0,42,1.0,0.5,pruned,0.2,False,inf,oplb,,0.25,0.625,48,50,154,75.0,183.0
BCI-IV-2b,2,within,within_fold0,0,1.0,0.5,pruned,0.3,True,inf,oplb,,-0.1667,0.4167,48,48,134,73.0,183.0
BCI-IV-2b,2,within,within_fold0,1,1.0,0.5,pruned,0.3,True,inf,oplb,,0.0417,0.5208,48,78,134,78.0,177.0
BCI-IV-2b,2,within,within_fold0,2,1.0,0.5,pruned,0.3,True,inf,oplb,,0.1667,0.5833,48,54,134,70.0,149.0
BCI-IV-2b,2,within,within_fold0,3,1.0,0.5,pruned,0.3,True,inf,oplb,,-0.0833,0.4583,48,78,134,67.0,162.0
BCI-IV-2b,2,within,within_fold0,42,1.0,0.5,pruned,0.3,True,inf,oplb,,-0.1667,0.4167,48,86,134,77.0,173.0
BCI-IV-2b,2,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,0.2083,0.6042,48,48,134,78.0,199.0
BCI-IV-2b,2,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,0.125,0.5625,48,78,134,80.0,208.0
BCI-IV-2b,2,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,0.125,0.5625,48,54,134,70.0,188.0
