dataset,feature_family,classifier,subject,protocol,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
STEW,fbcsp,svm,6,within,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,6,within,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,random_forest,6,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,6,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,6,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,6,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,random_forest,6,within,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,6,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,svm,6,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,decision_tree,6,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,random_forest,6,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,lda,6,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,svm,6,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,decision_tree,6,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,random_forest,6,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,lda,7,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,7,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,7,within,0,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,fbcsp,random_forest,7,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,7,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,7,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,7,within,0,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,bandpower,random_forest,7,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,7,within,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,7,within,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,7,within,1,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,fbcsp,random_forest,7,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,7,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,7,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,7,within,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,random_forest,7,within,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,lda,7,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,7,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,7,within,2,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,random_forest,7,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,7,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,7,within,2,42,0.7272727272727273,0.8666666666666667,59,15,14,
STEW,bandpower,decision_tree,7,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,random_forest,7,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,7,within,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,svm,7,within,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,7,within,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,random_forest,7,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,7,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,7,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,7,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,random_forest,7,within,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,7,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,svm,7,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,decision_tree,7,within,4,42,0.7142857142857143,0.8571428571428571,60,14,14,
STEW,fbcsp,random_forest,7,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,lda,7,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,svm,7,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,decision_tree,7,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,random_forest,7,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,lda,8,within,0,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,svm,8,within,0,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,fbcsp,decision_tree,8,within,0,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,fbcsp,random_forest,8,within,0,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,bandpower,lda,8,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,8,within,0,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,decision_tree,8,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,random_forest,8,within,0,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,fbcsp,lda,8,within,1,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,svm,8,within,1,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,decision_tree,8,within,1,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,random_forest,8,within,1,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,lda,8,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,8,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,8,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,random_forest,8,within,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,8,within,2,42,1.0,1.0,59,15,14,
