dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,online_heads,window_size,discount_gamma,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,3,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.1667,0.5833,48,84,134,65.0,147.0
BCI-IV-2b,3,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.125,0.5625,48,42,134,59.0,144.0
BCI-IV-2b,3,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.0833,0.5417,48,76,134,67.0,188.0
BCI-IV-2b,3,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.0,0.5,48,46,134,73.0,163.0
BCI-IV-2b,3,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.125,0.5625,48,86,134,67.0,198.0
BCI-IV-2b,3,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.0417,0.5208,48,84,134,64.0,148.0
BCI-IV-2b,3,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.125,0.5625,48,42,134,61.0,147.0
BCI-IV-2b,3,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,-0.0417,0.4792,48,76,134,71.0,172.0
BCI-IV-2b,3,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.0,0.5,48,46,134,64.0,249.0
BCI-IV-2b,3,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,-0.0417,0.4792,48,86,134,71.0,147.0
BCI-IV-2b,3,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.2083,0.6042,48,84,134,73.0,161.0
BCI-IV-2b,3,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.2917,0.6458,48,42,134,59.0,147.0
BCI-IV-2b,3,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,-0.0833,0.4583,48,76,134,63.0,185.0
BCI-IV-2b,3,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.125,0.5625,48,46,134,66.0,210.0
BCI-IV-2b,3,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.25,0.625,48,86,134,70.0,149.0
BCI-IV-2b,3,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.0,0.5,48,84,134,77.0,169.0
BCI-IV-2b,3,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.2917,0.6458,48,42,134,61.0,151.0
BCI-IV-2b,3,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,-0.0417,0.4792,48,76,134,67.0,186.0
BCI-IV-2b,3,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,-0.0333,0.4833,120,16,84,28.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.05,0.525,120,96,84,38.0,382.0
BCI-IV-2b,3,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.1167,0.5583,120,18,84,33.0,360.0
