dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,0.0167,0.5083,120,94,84,48.0,387.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.1333,0.4333,120,62,84,42.0,401.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,0.05,0.525,120,58,84,42.0,389.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.0167,0.4917,120,56,84,41.0,391.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,0.0333,0.5167,120,60,84,44.0,386.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,fixed,,0.0167,0.5083,120,94,84,46.0,444.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,fixed,,0.0167,0.5083,120,62,84,40.0,444.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,fixed,,0.0667,0.5333,120,58,84,42.0,360.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,fixed,,0.05,0.525,120,56,84,45.0,444.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,fixed,,-0.05,0.475,120,60,84,55.0,360.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.0,0.5,120,94,84,41.0,365.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.1333,0.5667,120,62,84,41.0,428.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.0,0.5,120,58,84,40.0,363.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.05,0.525,120,56,84,37.0,382.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,-0.0667,0.4667,120,60,84,45.0,382.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.0167,0.5083,120,94,84,48.0,inf
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,unconstrained,,-0.1333,0.4333,120,62,84,42.0,inf
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.05,0.525,120,58,84,42.0,inf
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,unconstrained,,-0.0167,0.4917,120,56,84,41.0,inf
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.0333,0.5167,120,60,84,44.0,inf
BCI-IV-2b,3,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,oplb,,0.375,0.6875,48,46,134,71.0,202.0
BCI-IV-2b,3,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,oplb,,0.125,0.5625,48,86,134,74.0,163.0
BCI-IV-2b,3,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,oplb,,0.125,0.5625,48,84,134,65.0,167.0
BCI-IV-2b,3,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,oplb,,0.1667,0.5833,48,42,134,64.0,178.0
BCI-IV-2b,3,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,oplb,,0.0833,0.5417,48,76,134,67.0,180.0
BCI-IV-2b,3,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,fixed,,0.0417,0.5208,48,46,134,76.0,144.0
